"[0] CarFuelTypeComparatorLevenshtein","[1] CarModelComparatorLevenshtein","[2] CarModelComparatorMaximumTokenContainment","[3] CarModelComparatorTokenizingJaccard","[4] CarModelComparatorLevenshtein","[5] CarTransmissionComparatorLevenshtein","label"
"0.1875","1.0","1.0","1.0","1.0","0.5","0"
"0.125","0.5","0.25","0.14285714285714285","0.5","0.1333333333333333","0"
"0.25","1.0","1.0","1.0","1.0","0.5","1"
"0.25","0.33333333333333337","0.5","0.2857142857142857","0.33333333333333337","0.28125","1"
"0.25","0.5714285714285714","1.0","0.5","0.5714285714285714","0.5","0"
"0.25","0.5","1.0","0.25","0.5","0.6428571428571428","1"
"1.0","0.08333333333333337","0.0","0.0","0.08333333333333337","0.5","0"
"0.25","0.4642857142857143","0.5","0.16666666666666666","0.4642857142857143","0.5","1"
"0.25","0.5","1.0","0.3333333333333333","0.5","0.6","1"
"1.0","0.2222222222222222","0.0","0.0","0.2222222222222222","0.5","0"
"1.0","0.1875","0.0","0.0","0.1875","0.5","0"
"0.25","0.25","1.0","0.25","0.25","0.6","1"
"0.25","0.4444444444444444","0.5","0.2","0.4444444444444444","0.5","1"
"0.25","0.47058823529411764","0.5","0.25","0.47058823529411764","0.17647058823529416","0"
"0.25","0.25","0.5","0.125","0.25","0.5","1"
"0.25","0.2666666666666667","1.0","0.16666666666666666","0.2666666666666667","0.5","1"
"0.25","0.25","0.5","0.2","0.25","0.6","1"
"0.25","0.25","0.5","0.2","0.25","0.1333333333333333","0"
"0.1875","0.1428571428571429","0.0","0.0","0.1428571428571429","0.16666666666666663","0"
"0.25","0.4444444444444444","0.5","0.2","0.4444444444444444","0.5","1"
"0.1875","0.19999999999999996","0.0","0.0","0.19999999999999996","0.5","0"
"0.125","0.6666666666666667","1.0","0.3333333333333333","0.6666666666666667","0.1333333333333333","0"
"0.25","0.5333333333333333","0.5","0.16666666666666666","0.5333333333333333","0.6","1"
"0.1875","0.2727272727272727","0.6666666666666666","0.2222222222222222","0.2727272727272727","0.6428571428571428","0"
"0.1875","0.19999999999999996","1.0","0.25","0.19999999999999996","0.1428571428571429","0"
"0.25","0.13043478260869568","0.2","0.1","0.13043478260869568","0.6","0"
"1.0","0.5333333333333333","1.0","0.5","0.5333333333333333","0.6428571428571428","1"
"0.25","0.05405405405405406","0.0","0.0","0.05405405405405406","0.1333333333333333","0"
"0.25","0.16000000000000003","1.0","0.16666666666666666","0.16000000000000003","0.5","1"
"0.125","0.6923076923076923","1.0","0.5","0.6923076923076923","0.6","0"
"0.1875","0.16216216216216217","0.25","0.1111111111111111","0.16216216216216217","0.1333333333333333","0"
"0.25","0.4444444444444444","0.5","0.2","0.4444444444444444","0.5","1"
"1.0","0.5833333333333333","1.0","0.5","0.5833333333333333","0.6428571428571428","1"
"0.25","0.36585365853658536","0.4","0.16666666666666666","0.36585365853658536","0.6428571428571428","1"
"0.25","0.31034482758620685","1.0","0.3333333333333333","0.31034482758620685","0.6428571428571428","1"
"0.25","0.3571428571428571","0.6666666666666666","0.25","0.3571428571428571","0.16666666666666663","0"
"0.25","0.4285714285714286","0.5","0.2","0.4285714285714286","0.6","1"
"0.16666666666666663","0.33333333333333337","1.0","0.5","0.33333333333333337","0.5","0"
"0.25","0.48","1.0","0.4","0.48","0.28125","1"
"0.25","1.0","1.0","1.0","1.0","0.5","1"
"0.16666666666666663","1.0","1.0","1.0","1.0","0.5","0"
"0.16666666666666663","0.41666666666666663","1.0","0.5","0.41666666666666663","0.5","0"
"0.1875","0.7916666666666666","1.0","0.6","0.7916666666666666","0.1333333333333333","0"
"0.25","0.25","0.5","0.125","0.25","0.5","1"
"0.25","0.4","0.6666666666666666","0.5","0.4","0.19999999999999996","0"
"0.16666666666666663","0.625","1.0","0.5","0.625","0.5","0"
"0.16666666666666663","0.625","1.0","0.5","0.625","0.5","0"
"1.0","0.7857142857142857","0.5","0.3333333333333333","0.7857142857142857","0.5","1"
"1.0","0.7857142857142857","0.5","0.3333333333333333","0.7857142857142857","0.5","1"
"0.25","1.0","1.0","1.0","1.0","0.16666666666666663","0"
"1.0","0.7857142857142857","0.5","0.3333333333333333","0.7857142857142857","0.5","1"
"0.25","0.21052631578947367","0.0","0.0","0.21052631578947367","0.6","1"
"0.25","0.23684210526315785","1.0","0.25","0.23684210526315785","0.6","1"
